key,0s,1s,2s,3s,4s,6s,outs,balls
"2, 4",0,3,0,1,0,0,0,4
"1, 2",8,3,0,0,0,0,0,11
"0, 2",1,1,2,0,0,0,0,4
"2, 3",1,1,0,0,0,0,1,2
"2, 4",7,18,2,0,3,0,1,30
"1, 3",0,2,0,0,1,0,0,3
"2, 4",3,6,0,0,2,0,0,11
"1, 3",6,1,0,0,2,0,1,9
"2, 2",4,1,0,0,0,0,1,5
"2, 4",6,4,2,0,4,0,0,16
"1, 4",8,4,0,0,1,2,1,15
"0, 4",0,1,1,0,1,1,0,4
"0, 4",2,1,0,0,1,0,1,4
"2, 3",5,5,0,0,1,0,0,11
"2, 4",1,1,0,0,0,0,0,2
"0, 2",1,0,0,0,0,1,0,2
"2, 2",3,0,0,0,0,0,1,3
"1, 3",4,2,0,0,2,0,0,8
"2, 4",2,0,0,0,2,0,1,4
"0, 3",0,3,0,0,0,1,0,4
"2, 3",3,1,0,0,0,0,0,4
"0, 3",2,0,0,0,1,0,1,3
