player_id,player_name,matches,bat_inns,not_outs,runs_scored,highest_score,ave_score,balls_faced,sr,hundreds,fifties,fours,sixes,bowl_inns,balls,runs_conceded,wkts,bowl_ave,econ,bowl_sr
379927,Beuran Hendricks,48,8,5,21,0,7,31,67.74,0,0,0,1,47,969,1377,65,21.18,8.52,14.9
322535,Karanveer Singh,15,6,4,36,0,18,54,66.66,0,0,3,0,15,302,451,18,25.05,8.96,16.7
35263,Virender Sehwag,159,157,6,4061,122,26.89,2747,147.83,2,24,487,147,28,358,496,22,22.54,8.31,16.2
717201,Shivam Sharma,8,4,1,17,12,5.66,18,94.44,0,0,3,0,8,163,215,9,23.88,7.91,18.1
39024,Azhar Mahmood,230,207,47,4091,0,25.56,3023,135.32,2,18,383,138,229,4825,6143,258,23.81,7.63,18.7
44149,Johan Botha,205,148,47,1961,0,19.41,1733,113.15,0,2,0,0,197,4079,4405,155,28.41,6.47,26.3
489889,Pat Cummins,69,37,15,293,39,13.31,239,122.59,0,0,16,14,69,1568,2051,81,25.32,7.84,19.3
725435,Aditya Garhwal,21,21,2,368,52,19.36,273,134.79,0,1,47,10,7,96,102,6,17,6.37,16
32084,Sumit Narwal,33,21,8,277,42,21.3,170,162.94,0,0,20,15,32,643,824,27,30.51,7.68,23.8
528967,Veer Pratap Singh,14,2,0,1,1,0.5,3,33.33,0,0,0,0,14,300,417,14,29.78,8.34,21.4
590325,Vaibhav Rawal,5,5,2,97,0,32.33,61,159.01,0,0,7,4,0,0,0,0,0,0,0
