batsman,nonstrike,bowler,runs,wickets,home,ave_score,sr,bowl_ave,bowl_sr,econ,innings,wickets
3,0,2,10,1,0,10.68,105.18,24.94,19.3,7.74,0,1
0,2,2,1,1,1,21.66,104.55,32.16,25.8,7.46,1,1
0,2,4,4,0,1,21.66,104.55,23.39,17.3,8.1,1,0
0,2,2,11,0,1,21.66,104.55,32.16,25.8,7.46,1,0
2,0,4,9,0,1,25.62,145.25,23.39,17.3,8.1,1,0
2,0,2,5,0,1,25.62,145.25,29.22,21.6,8.08,1,0
0,2,2,12,0,1,21.66,104.55,24.67,19.6,7.52,1,0
0,2,2,10,0,1,21.66,104.55,29.22,21.6,8.08,1,0
2,2,3,6,1,1,28.77,134.56,34.33,25.1,8.19,1,1
2,2,2,11,1,1,28.77,134.56,29.22,21.6,8.08,1,1
2,2,3,2,0,1,28.77,134.56,34.33,25.1,8.19,1,0
2,2,4,6,0,1,25.88,129.01,23.39,17.3,8.1,1,0
2,2,3,13,0,1,28.77,134.56,34.33,25.1,8.19,1,0
2,2,2,15,0,1,28.77,134.56,32.16,25.8,7.46,1,0
2,2,3,4,0,1,25.88,129.01,34.33,25.1,8.19,1,0
3,2,3,6,0,0,10.07,70.85,24.6,21.6,6.83,0,0
2,3,3.0,10,0,0,27.64,142.57,27.86269230769231,21.53619230769231,7.669653846153847,0,0
1,2,3,0,1,0,29.82,139.61,24.6,21.6,6.83,0,1
1,0,3.0,14,0,0,29.82,139.61,27.86269230769231,21.53619230769231,7.669653846153847,0,0
1,0,3,6,0,0,29.82,139.61,24.6,21.6,6.83,0,0
0,1,4,2,0,0,21.7,102.99,23.54,19.3,7.31,0,0
0,0,4,4,0,0,21.7,102.99,27.45,22.9,7.18,0,0
0,0,4,3,1,0,21.68,122.96,23.54,19.3,7.31,0,1
0,0,4,2,0,0,21.68,122.96,27.45,22.9,7.18,0,0
0,0,4,5,0,0,21.7,102.99,23.54,19.3,7.31,0,0
0,2,4,2,1,0,21.68,122.96,27.45,22.9,7.18,0,1
0,2,2,12,0,0,21.68,122.96,26.13,24.7,6.34,0,0
0,0,4,7,1,0,21.68,122.96,27.45,22.9,7.18,0,1
0,0,3.0,7,0,0,16.5,137.5,27.86269230769231,21.53619230769231,7.669653846153847,0,0
3,0,2,9,1,0,9.54,92.1,26.13,24.7,6.34,0,1
3,0,3.0,10,0,0,9.54,92.1,27.86269230769231,21.53619230769231,7.669653846153847,0,0
3,0,2,4,0,0,9.54,92.1,26.13,24.7,6.34,0,0
0,3,4,1,1,0,16.5,137.5,23.54,19.3,7.31,0,1
0,3,2,10,0,0,16.5,137.5,26.13,24.7,6.34,0,0
0,3,3,8,0,0,16.5,137.5,24.6,21.6,6.83,0,0
2,2,4,8,0,1,28.96,120.58,24.25,21.0,6.92,1,0
2,2,2,12,1,1,31.8,122.95,27.1,20.5,7.9,1,1
2,2,4,5,0,1,31.8,122.95,24.25,21.0,6.92,1,0
2,2,2,10,0,1,28.96,120.58,27.1,20.5,7.9,1,0
2,2,4,12,0,1,28.96,120.58,24.25,21.0,6.92,1,0
2,2,3,6,0,1,28.96,120.58,27.0,18.6,8.7,1,0
2,2,2,4,0,1,28.96,120.58,27.1,20.5,7.9,1,0
2,2,3,11,0,1,31.8,122.95,27.0,18.6,8.7,1,0
2,2,4,7,0,1,28.96,120.58,26.61,22.1,7.22,1,0
2,2,4,7,0,1,28.96,120.58,28.78,22.4,7.68,1,0
2,2,4,9,0,1,28.96,120.58,26.61,22.1,7.22,1,0
2,2,4,5,0,1,31.8,122.95,28.78,22.4,7.68,1,0
2,2,3,6,0,1,31.8,122.95,78.0,48.0,9.75,1,0
2,2,2,4,0,1,31.8,122.95,27.1,20.5,7.9,1,0
2,2,3,12,0,1,28.96,120.58,27.0,18.6,8.7,1,0
2,2,4,4,0,1,31.8,122.95,28.78,22.4,7.68,1,0
2,2,3,4,0,0,37.45,124.9,29.16,24.1,7.24,0,0
2,2,4,4,0,0,29.11,115.82,25.0,19.1,7.83,0,0
2,2,3,6,0,0,29.11,115.82,29.16,24.1,7.24,0,0
2,2,4,6,0,0,29.11,115.82,25.0,19.1,7.83,0,0
2,2,2,13,0,0,29.11,115.82,23.6,17.8,7.92,0,0
2,2,2,7,0,0,37.45,124.9,20.07,16.6,7.22,0,0
