player_name,bowl_ave,econ,bowl_sr,balls
Paul Collingwood,22.67,7.27,18.7,1852
Aditya Dole,22.4,10.18,13.2,66
Samad Fallah,25.47,7.29,20.9,712
Faiz Fazal,17.7,7.37,14.4,144
Abhishek Raut,22.64,7.66,17.7,248
Pinal Shah,0.0,0.0,0.0,0
Amit Singh,23.67,7.69,18.4,628
Raju Bhatkal,22.29,7.65,17.4,297
Mohammad Kaif,0.0,0.0,0.0,0
Abrar Kazi,45.5,8.27,33.0,66
Charl Langeveldt,21.46,7.62,16.8,2332
Ryan Ninan,21.66,10.83,12.0,36
Asad Pathan,0.0,9.69,0.0,39
S Thiyagarajan,0.0,0.0,0.0,0
Hemang Badani,20.42,6.5,18.8,132
Chandrasekar Ganapathy,16.09,6.42,15.0,496
Matthew Hayden,0.0,0.0,0.0,0
Justin Kemp,22.71,7.51,18.1,1016
Makhaya Ntini,25.0,7.48,20.0,1263
Thilan Thushara,19.68,7.42,15.9,1066
Anirudh Singh,0.0,0.0,0.0,0
Azhar Bilakhia,0.0,0.0,0.0,0
VVS Laxman,0.0,0.0,0.0,0
Kemar Roach,43.89,8.08,32.5,912
Bodapati Sumanth,0.0,8.75,0.0,24
Andrew Symonds,31.86,8.03,23.7,1237
Chaminda Vaas,19.96,6.77,17.6,1131
Joginder Singh,44.0,6.94,38.0,114
Farveez Maharoof,23.54,7.31,19.3,1816
Shashi Ranjan,0.0,0.0,0.0,0
Sarandeep Singh,19.36,6.26,18.5,204
Yusuf Abdulla,19.8,6.3,18.8,1187
Amanpreet Singh,0.0,0.0,0.0,0
Adrian Barath,0.0,0.0,0.0,0
Karan Goel,22.6,7.02,19.3,193
Reetinder Sodhi,25.2,7.87,19.2,96
Shane Bond,21.74,7.08,18.4,939
Eklak Ahmid,0.0,0.0,0.0,0
Rohan Gavaskar,37.33,7.72,29.0,87
Chirag Pathak,0.0,0.0,0.0,0
Dilhara Fernando,20.47,7.73,15.8,1175
Sanath Jayasuriya,25.75,7.46,20.6,1593
Chandan Madan,0.0,0.0,0.0,0
Ishan Malhotra,33.5,8.37,24.0,96
Graham Napier,23.35,7.91,17.7,2905
Syed Shahabuddin,34.45,7.21,28.6,315
Shane Warne,26.61,7.22,22.1,1548
Swapnil Asnodkar,0.0,0.0,0.0,0
Michael Lumb,21.66,10.83,12.0,36
Amit Uniyal,17.6,8.8,12.0,60
Adam Voges,27.92,7.99,20.9,566
Damien Martyn,0.0,0.0,0.0,0
Anil Kumble,24.36,6.69,21.8,1245
Balachandra Akhil,26.58,7.15,22.2,535
Mark Boucher,0.0,0.0,0.0,0
Dillon du Preez,24.87,7.33,20.3,1668
Sridharan Sriram,56.75,8.1,42.0,168
Palani  Amarnath,25.68,9.2,16.7,318
Viraj Kadbe,0.0,0.0,0.0,0
Andrew Flintoff,21.2,7.55,16.8,657
Vidyut Sivaramakrishnan,17.28,6.91,15.0,210
Abhinav Kumar,0.0,0.0,0.0,0
Halhadar Das,0.0,0.0,0.0,0
Jaskaran Singh,30.91,8.09,22.9,275
Doddapaneni Kalyankrishna,32.09,8.82,21.8,240
PM Sarvesh Kumar,42.0,8.4,30.0,30
Shoaib Ahmed,30.4,8.94,20.4,102
Chamara Silva,36.0,9.0,24.0,24
Paidikalva Vijaykumar,46.6,8.17,34.2,342
Nuwan Zoysa,17.9,6.96,15.4,324
Glenn McGrath,24.6,6.83,21.6,432
Ajitesh Argal,50.75,9.22,33.0,132
Ranadeb Bose,30.36,8.56,21.2,234
Burt Cockley,0.0,15.0,0.0,18
Simon Katich,0.0,9.66,0.0,18
Uday Kaul,0.0,0.0,0.0,0
Taruwar Kohli,24.11,6.81,21.2,191
Sahil Kukreja,0.0,0.0,0.0,0
Wilkin Mota,27.09,7.18,22.6,249
Ravikant Shukla,0.0,9.0,0.0,6
Vikram Singh,28.58,7.97,21.5,667
Rohan Banerjee,0.0,0.0,0.0,0
Arindam Ghosh,0.0,0.0,0.0,0
Mashrafe Mortaza,31.07,7.54,24.7,2867
Shoaib Shaikh,35.25,10.07,21.0,84
Morne van Wyk,0.0,0.0,0.0,0
Yashpal Singh,27.66,6.85,24.2,218
Kyle Mills,27.1,8.1,20.0,2106
Mohammad Ashraful,19.3,7.95,14.5,335
Chetanya Nanda,23.44,6.91,20.3,366
Rohan Raje,22.08,8.06,16.4,559
Luke Ronchi,0.0,0.0,0.0,0
Rahil Shaikh,0.0,11.0,0.0,6
Pushkaraj Chavan,0.0,0.0,0.0,0
Aditya Angle,0.0,16.0,0.0,6
Lee Carseldine,16.14,8.07,12.0,84
Shane Harwood,22.47,7.66,17.6,845
Tyron Henderson,23.6,7.22,19.6,1824
Justin Langer,0.0,0.0,0.0,0
Abdulahad Malek,0.0,0.0,0.0,0
Mohammed Arif,0.0,0.0,0.0,0
Parag More,0.0,0.0,0.0,0
Niraj Patel,29.18,8.67,20.1,222
Rob Quiney,0.0,13.0,0.0,6
Atul Sharma,0.0,0.0,0.0,0
Gajendra Singh,21.25,6.8,18.7,300
Ashraf Makda,28.41,6.66,25.5,307
Shrideep Mangela,0.0,0.0,0.0,0
Anup Revandkar,6.5,6.5,6.0,12
Rangaraj Suthesh,15.66,6.13,15.3,46
Jagadeesh Arunkumar,0.0,0.0,0.0,0
Saurabh Bandekar,20.9,8.18,15.3,628
Rajesh Bishnoi,0.0,10.0,0.0,6
Nathan Bracken,22.74,7.21,18.9,586
Gaurav Dhiman,0.0,0.0,0.0,0
Wasim Jaffer,0.0,0.0,0.0,0
Sunil Joshi,26.0,7.16,21.7,283
Udit Patel,25.69,7.44,20.6,269
Devraj Patil,0.0,0.0,0.0,0
Jitendra Patil,16.75,6.7,15.0,60
RK Sabharwal,0.0,0.0,0.0,0
Tinu Yohannan,16.5,8.25,12.0,24
Abdur Razzak,21.21,6.94,18.3,1760
Neravanda Aiyappa,26.0,7.8,20.0,80
Shivnarine Chanderpaul,0.0,0.0,0.0,0
Misbah-ul-Haq,0.0,0.0,0.0,0
Ashley Noffke,20.76,7.46,16.6,634
Venkatesh Prasad,0.0,0.0,0.0,0
Napoleon Einstein,0.0,0.0,0.0,0
Stephen Fleming,0.0,0.0,0.0,0
Chamara Kapugedera,24.71,8.37,17.7,124
Suresh Kumar,28.33,8.29,20.5,246
Kepler Wessels,0.0,0.0,0.0,0
Sanjay Bangar,22.87,7.35,18.6,578
Shahid Afridi,22.12,6.69,19.8,6084
Robin Singh,9.0,9.0,6.0,6
Brett Geeves,24.26,9.15,15.8,302
Mohammad Asif,21.16,7.62,16.6,832
Shoaib Malik,25.88,7.06,22.0,2926
Mayank Tehlan,0.0,0.0,0.0,0
Greg Shipperd,0.0,0.0,0.0,0
Pankaj Dharmani,0.0,0.0,0.0,0
Gagandeep Singh,30.83,7.25,25.5,306
Ramnaresh Sarwan,11.0,7.33,9.0,18
Tom Moody,0.0,0.0,0.0,0
Mohammad Hafeez,21.78,6.24,20.9,3286
Salman Butt,28.2,7.83,21.6,108
Shoaib Akhtar,22.22,7.29,18.2,804
Tatenda Taibu,0.0,10.25,0.0,24
Umar Gul,19.07,7.45,15.3,3118
Saurasish Lahiri,19.64,6.72,17.5,438
John Buchanan,0.0,0.0,0.0,0
Loots Bosman,0.0,9.0,0.0,6
Musavir Khote,31.16,8.5,22.0,132
Andre Nel,37.67,6.74,33.5,1240
Rajesh Pawar,29.83,8.13,22.0,132
Shaun Pollock,22.13,6.37,20.8,937
Ashwell Prince,0.0,7.5,0.0,4
Dominic Thornely,24.5,7.72,19.0,533
Vikrant Yeligati,54.5,8.38,39.0,78
Lalchand Rajput,0.0,0.0,0.0,0
