key,0s,1s,2s,3s,4s,6s,outs,balls
"DT Christian, Harbhajan Singh",0.4,0.9500000000000001,0.9500000000000001,0.9500000000000001,1.0,1.0,0.05,20
"N Rana, AR Patel",0.5714285714285714,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,0.07142857142857142,14
"RS Bopara, SE Bond",1.0,1.0,1.0,1.0,1.0,1.0,0.5,2
"DJ Bravo, K Goel",0.6,0.8,1.0,1.0,1.0,1.0,0.0,5
"SK Raina, B Akhil",0.3,0.8,0.8,0.8,0.9,1.0,0.0,10
"R Dravid, MS Gony",0.4666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,1.0,0.13333333333333333,15
"R Vinay Kumar, I Sharma",0.5,0.5,1.0,1.0,1.0,1.0,0.5,2
"Iqbal Abdulla, CH Morris",0.5,1.0,1.0,1.0,1.0,1.0,0.0,4
"MEK Hussey, SL Malinga",0.43243243243243246,0.8378378378378379,0.8378378378378379,0.8378378378378379,0.972972972972973,1.0,0.05405405405405406,37
"SE Marsh, JD Unadkat",0.6666666666666666,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.9999999999999999,0.0,6
"DA Miller, DR Smith",0.3076923076923077,0.7692307692307693,0.8461538461538463,0.8461538461538463,1.0,1.0,0.07692307692307693,13
"RV Uthappa, CK Langeveldt",0.0,1.0,1.0,1.0,1.0,1.0,0.0,3
"ST Jayasuriya, SK Trivedi",0.3076923076923077,0.6153846153846154,0.9230769230769231,0.9230769230769231,1.0,1.0,0.07692307692307693,13
"RA Tripathi, CH Morris",0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0.16666666666666666,6
"LA Pomersbach, SM Pollock",0.5,0.6666666666666666,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.9999999999999999,0.0,6
"WP Saha, Iqbal Abdulla",0.2,0.8,1.0,1.0,1.0,1.0,0.0,5
"CM Gautam, Mohammed Shami",0.2,0.8,1.0,1.0,1.0,1.0,0.0,5
